Date,Race Name,Distance,Direction,Surface,Condition,Finish Position,Finish Time,Entry Fee,Winnings,Weight Carried,FF (Overall),FF (Early),FF (Mid),FF (Late),Entrants,Link,Horse Name,Age,Fleet Figure,Gender,Stable Name,Horse Price,Horse Status,Starts(W-P-S),Career Earnings,Largest Purse,Career Injuries,Horse ID
"07/17/23, 11:21 PM",Wild and Wonderful Handicap,5,Right,Dirt,Fast,6,59.3336850872112,1240.0,0.0,0,55,2,6,6,12,https://photofinish.live/races/season0004-W_z0iSsKp0m0pWBFVBZYig,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"06/27/23, 11:10 PM",El Castillo Handicap,8,Right,Dirt,Good,5,100.45157818329837,1240.0,0.0,2,51,5,5,5,5,https://photofinish.live/races/season0003-b1mCZA_0AUmqn63A-nqNcQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"06/08/23, 07:30 PM",Tiger Hill Allowance,7,Right,Dirt,Yielding,10,86.63674363105443,609.0,0.0,3,56,11,11,10,12,https://photofinish.live/races/season0003-cuDb6cJ5gUSGVWMS89QPkA,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"06/04/23, 02:46 AM",Rising Sun Handicap,6,Right,Dirt,Good,9,72.22006378127084,600.0,0.0,1,52,11,11,9,12,https://photofinish.live/races/season0003-8MBWsn3Z-0GfnWJaiuG2ZA,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"06/01/23, 12:51 AM",Kimono Handicap,6,Right,Dirt,Fast,10,71.89335675394706,1560.0,0.0,0,56,4,10,10,12,https://photofinish.live/races/season0003-pyqvIlMXskus1fdDRHWcmw,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/31/23, 12:25 AM",Monterey Bay Handicap,7,Right,Dirt,Good,1,86.00710965983698,1880.0,9024.0,2,61,9,8,1,12,https://photofinish.live/races/season0003-UzrrM8fQTEiUGlC-s5mtmQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/26/23, 12:39 AM",Enchanted Forest Allowance,9,Right,Dirt,Fast,8,114.48908289557944,848.25,0.0,2,53,3,2,8,12,https://photofinish.live/races/season0002-jY_gaFKLv0qcCkrT-rP66w,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/24/23, 08:37 PM",Ocean View Handicap,9,Right,Dirt,Good,2,113.56381741072671,1600.0,2329.6,0,63,2,1,2,7,https://photofinish.live/races/season0002-Q1yAT9SI6kuMSOZ1JeO-cg,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/19/23, 09:42 PM",Faultline Allowance,8,Right,Dirt,Yielding,8,100.9336198725448,1044.0,0.0,3,55,3,5,8,8,https://photofinish.live/races/season0002-kPbAhXD2L0qvZWpbExwaJw,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/17/23, 07:33 PM",Blue Ridge Allowance,6,Right,Dirt,Fast,3,72.1326428695334,1044.0,1135.87,2,62,2,2,3,8,https://photofinish.live/races/season0002-lW5vjPzhDUiVrYQ_MxxtGQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/16/23, 07:16 AM",Imperial Garden Allowance,9,Right,Dirt,Fast,4,114.46960361071368,1044.0,1002.24,3,59,3,2,4,10,https://photofinish.live/races/season0002-UcOjJhU4aE2w4bAtvhNyig,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/13/23, 07:02 AM",Cajun Allowance,12,Right,Dirt,Good,9,159.3702549713702,1044.0,0.0,3,44,2,5,9,12,https://photofinish.live/races/season0002-Kb3BtbLvTk-KSbRwHnstOg,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/11/23, 06:36 AM",Golden Phoenix Allowance,9,Right,Dirt,Fast,2,113.89788033876872,1044.0,1670.4,2,61,6,1,2,8,https://photofinish.live/races/season0002-_aRiFy9fkkiWbceuH19fXw,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/08/23, 07:33 PM",Firefly Allowance,5,Right,Dirt,Fast,7,60.08953029132406,1044.0,0.0,3,58,9,7,7,10,https://photofinish.live/races/season0002--MuaKYyhqkSvOscNtZ4yoQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/06/23, 10:00 PM",Charmed City Allowance,10,Right,Dirt,Good,2,128.6597403558901,1044.0,2204.92,3,56,3,1,2,12,https://photofinish.live/races/season0002-Zv5YvD2nhEeieVpTw8i0Ww,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/03/23, 10:41 PM",Dragonfly Maiden,5,Right,Dirt,Fast,1,59.63632743816554,348.0,1531.2,0,67,2,2,1,11,https://photofinish.live/races/season0002-hTLBHvdW-UqWGKjmJd8CGg,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/02/23, 04:14 AM",Emperor's Treasure Maiden,6,Right,Dirt,Fast,2,71.87303812903683,348.0,601.34,0,61,4,1,2,9,https://photofinish.live/races/season0002-Sf18Tq2jqUKjUACFA-J4wg,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"04/30/23, 08:27 PM",Yellow River Maiden,11,Right,Dirt,Good,2,144.84773488342265,348.0,506.68,0,51,4,2,2,7,https://photofinish.live/races/season0002-Uhta_dZrOU6cD57_2oCIfQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"04/28/23, 01:40 AM",Third Time Thursday Maiden,12,Right,Dirt,Fast,2,158.11798956668616,890.0,1424.0,0,48,6,1,2,8,https://photofinish.live/races/season0002-custom-third-time-thursday-maiden-41,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
